Categoria A,Categoria B,Pearson (r),Pearson (p),Spearman (ρ),Spearman (p),Correlação Absoluta
"Assinaturas, Netflix/Serviços de Streaming/Assinaturas",Doações/Presentes,0.027156224188878787,0.8183467159230009,0.3180580206126477,0.00575256131388083,0.027156224188878787
Doações/Presentes,Bugigangas,-0.025337909832344095,0.8303220637054904,0.04399505897659701,0.7097462230667269,0.025337909832344095
celular,Cinema,-0.024733738427285386,0.8343098115559886,0.1128491339912274,0.33841564001980984,0.024733738427285386
"transporte, Uber/Táxi, ônibus",luz,-0.022871761031304186,0.8466253691325866,0.0346413983787298,0.7695135743645216,0.022871761031304186
Gás,Games,-0.022107227829832512,0.8516929899359715,-0.009776864344298974,0.9341108560625877,0.022107227829832512
celular,Saúde,0.022087685366038303,0.8518226044455219,0.20969172733131214,0.07295383234164926,0.022087685366038303
celular,"Ifood/Semelhantes, Lanches/Almoço extra",0.020818553721833624,0.8602482996147452,-0.02534440251721546,0.830279232693555,0.020818553721833624
"relacionamentos, GP, civis",Games,-0.019873388085500203,0.8665333912656936,-0.043261656292374155,0.7143751459625196,0.019873388085500203
aluguel,HQ,-0.01893754598885048,0.8727646358269638,-0.43385238737643855,0.000112615914889657,0.01893754598885048
Internet,Utilidades,0.018830053974933578,0.8734808669888062,-0.07715459085064691,0.5135084682887275,0.018830053974933578
supermercado,aluguel,0.01740981000815952,0.882953425135234,0.29859431629093625,0.009762881711098403,0.01740981000815952
supermercado,"Ifood/Semelhantes, Lanches/Almoço extra",-0.015646160567713875,0.8947390845857388,0.0538627292735079,0.6485427807304521,0.015646160567713875
HQ,Bugigangas,-0.015630785992816483,0.8948419296935224,-0.0026114526738238377,0.9823824303065076,0.015630785992816483
Gás,Doações/Presentes,0.015354333863388924,0.8966914939710184,0.063966729796853,0.5881977495023785,0.015354333863388924
Aparência,HQ,-0.014964788673922313,0.8992986224197331,-0.20643278048302288,0.07762598912287898,0.014964788673922313
luz,Aparência,0.014064578199768056,0.9053275318986961,0.18099238028397768,0.12277637563016754,0.014064578199768056
celular,aluguel,-0.012532573600251224,0.9155998173297105,0.3714486906266537,0.0011206587691500094,0.012532573600251224
"Ifood/Semelhantes, Lanches/Almoço extra",Games,0.009216358077974328,0.9378805627233439,0.00369274524854722,0.9750897176003793,0.009216358077974328
supermercado,Livros,0.006370300904664045,0.9570411386700218,-0.02384072353974468,0.8402116494412784,0.006370300904664045
Internet,Bugigangas,0.0055406115484954235,0.9626319381255073,-0.10869777907576139,0.3565963865574052,0.0055406115484954235
Internet,Gás,-0.0012683024836713692,0.9914431664542458,-0.395066237549729,0.0004949364830117873,0.0012683024836713692
"Ifood/Semelhantes, Lanches/Almoço extra",Utilidades,0.00019464507596757968,0.9986867675038172,0.020144119567904812,0.8647322391302814,0.00019464507596757968
